Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
1/4/25,The Name of the Rose,1986,https://boxd.it/8iqHmH,3.5,,,1/2/25
1/4/25,Becket,1964,https://boxd.it/8irgM1,4,,,1/2/25
1/5/25,Conclave,2024,https://boxd.it/8joLwB,5,Yes,2025 oscars,1/3/25
1/9/25,The Sting,1973,https://boxd.it/8ngq21,4,,,1/6/25
1/9/25,8½,1963,https://boxd.it/8nB8L5,3.5,,,1/6/25
1/10/25,The Mummy,1999,https://boxd.it/8p3DGb,5,Yes,,1/9/25
1/11/25,The Cabinet of Dr. Caligari,1920,https://boxd.it/8pp28v,3,,,1/9/25
1/17/25,Casino,1995,https://boxd.it/8uUhFL,4.5,,,1/14/25
1/16/25,The Most Dangerous Game,1932,https://boxd.it/8uoI6z,2,,,1/15/25
1/17/25,The Lady Vanishes,1938,https://boxd.it/8uTWsB,3.5,,,1/15/25
1/17/25,Blue Velvet,1986,https://boxd.it/8vbM9l,5,,,1/16/25
1/19/25,Laura,1944,https://boxd.it/8wnfXZ,3.5,,,1/16/25
1/20/25,Emilia Pérez,2024,https://boxd.it/8xuaY7,1,,2025 oscars,1/19/25
1/22/25,The 39 Steps,1935,https://boxd.it/8z1F61,3.5,,,1/20/25
1/24/25,The Twilight Saga: New Moon,2009,https://boxd.it/8AkcVh,2,,,1/22/25
1/26/25,The Twilight Saga: Eclipse,2010,https://boxd.it/8CsUH3,1.5,,,1/25/25
1/30/25,The Batman,2022,https://boxd.it/8FrGnj,5,Yes,,1/29/25
1/31/25,From Ground Zero,2024,https://boxd.it/8FWn2j,,,"michigan/state theater, solo",1/30/25
2/9/25,Nickel Boys,2024,https://boxd.it/8LQY8Z,4.5,,"2025 oscars, michigan/state theater, solo",2/4/25
2/6/25,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/8KkpkD,4.5,Yes,,2/5/25
2/9/25,A Real Pain,2024,https://boxd.it/8LR7fZ,3.5,,2025 oscars,2/7/25
2/11/25,A Complete Unknown,2024,https://boxd.it/8NrtBf,3.5,,"2025 oscars, ronnie's, w/dad!",2/8/25
2/12/25,Anora,2024,https://boxd.it/8OaDyP,3.5,,"michigan/state theater, 2025 oscars, solo",2/11/25
2/13/25,The Apprentice,2024,https://boxd.it/8OLpzD,3.5,,2025 oscars,2/12/25
2/15/25,Sugarcane,2024,https://boxd.it/8PB9rd,4,,2025 oscars,2/13/25
2/17/25,The Substance,2024,https://boxd.it/8R3HcL,3,,2025 oscars,2/14/25
2/17/25,Black Box Diaries,2024,https://boxd.it/8R3MNd,4.5,,2025 oscars,2/15/25
2/17/25,Inside Out 2,2024,https://boxd.it/8R3SFf,3,,2025 oscars,2/15/25
2/17/25,The Girl with the Needle,2024,https://boxd.it/8RoDED,4,,2025 oscars,2/16/25
2/17/25,Wicked,2024,https://boxd.it/8RFtLX,2.5,,2025 oscars,2/16/25
2/18/25,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/8RVYXH,3.5,,2025 oscars,2/17/25
2/19/25,Soundtrack to a Coup d'Etat,2024,https://boxd.it/8SG65v,3.5,,2025 oscars,2/17/25
2/19/25,A Lien,2023,https://boxd.it/8SONWN,3,,"2025 oscars, michigan/state theater, solo",2/18/25
2/19/25,Anuja,2024,https://boxd.it/8SOSGZ,3,,"2025 oscars, michigan/state theater, solo",2/18/25
2/19/25,The Last Ranger,2024,https://boxd.it/8SP2qx,4,,"2025 oscars, michigan/state theater, solo",2/18/25
2/19/25,The Man Who Could Not Remain Silent,2024,https://boxd.it/8SPhpp,4,,"michigan/state theater, 2025 oscars, solo",2/18/25
2/19/25,I'm Not a Robot,2023,https://boxd.it/8SPph9,5,,"michigan/state theater, 2025 oscars, solo",2/18/25
2/22/25,I'm Still Here,2024,https://boxd.it/8Uiaeh,4,,"2025 oscars, michigan/state theater, solo",2/19/25
2/22/25,Death by Numbers,2024,https://boxd.it/8UihS9,1.5,,2025 oscars,2/20/25
2/22/25,"I Am Ready, Warden",2024,https://boxd.it/8UipFR,0.5,,2025 oscars,2/20/25
2/22/25,The Only Girl in the Orchestra,2023,https://boxd.it/8Uiw7n,2.5,,2025 oscars,2/20/25
2/22/25,Instruments of a Beating Heart,2024,https://boxd.it/8UiyoZ,4,,2025 oscars,2/20/25
2/22/25,Incident,2023,https://boxd.it/8UiBlz,4.5,,2025 oscars,2/20/25
2/22/25,Alien: Romulus,2024,https://boxd.it/8UiHNp,2.5,,2025 oscars,2/20/25
